num;repet;Climat;Rotation;Date_semis;Densite_semis;cov.nb;niv_RQ;pertes_rdt_3seeds
576;3;1;10;1;25;2.5;1.6;10.10273836
577;3;2;20;0;55;2;1.85;3.289266345
578;3;2;20;0;25;2;1.85;3.372490397
579;3;2;20;1;55;2;1.85;4.882978941
580;3;2;20;1;25;2;1.85;5.134866683
581;3;2;20;0;55;1.5;1.85;4.508691085
582;3;2;20;0;25;1.5;1.85;4.586676101
583;3;2;20;1;55;1.5;1.85;5.487451703
584;3;2;20;1;25;1.5;1.85;5.574284435
585;3;2;20;0;55;2.5;1.85;2.398374913
586;3;2;20;0;25;2.5;1.85;2.426079774
587;3;2;20;1;55;2.5;1.85;4.035020737
588;3;2;20;1;25;2.5;1.85;4.377565156
589;3;2;20;0;55;2;1;8.294529079
590;3;2;20;0;25;2;1;8.405280138
591;3;2;20;1;55;2;1;11.16630987
592;3;2;20;1;25;2;1;11.45146212
593;3;2;20;0;55;1.5;1;10.98875291
594;3;2;20;0;25;1.5;1;11.11707544
595;3;2;20;1;55;1.5;1;12.14926092
596;3;2;20;1;25;1.5;1;12.26741556
597;3;2;20;0;55;2.5;1;6.098266705
598;3;2;20;0;25;2.5;1;6.265729956
599;3;2;20;1;55;2.5;1;9.554756421
600;3;2;20;1;25;2.5;1;10.1117238
601;3;2;20;0;55;2;1.4;5.338550841
602;3;2;20;0;25;2;1.4;5.593890423
603;3;2;20;1;55;2;1.4;8.120357465
604;3;2;20;1;25;2;1.4;8.453918765
605;3;2;20;0;55;1.5;1.4;7.779526124
606;3;2;20;0;25;1.5;1.4;7.775834732
607;3;2;20;1;55;1.5;1.4;9.115871882
608;3;2;20;1;25;1.5;1.4;9.236502731
609;3;2;20;0;55;2.5;1.4;3.817676453
610;3;2;20;0;25;2.5;1.4;3.856494973
611;3;2;20;1;55;2.5;1.4;6.765519758
612;3;2;20;1;25;2.5;1.4;7.306401202
613;3;2;20;0;55;2;1.6;3.983021209
614;3;2;20;0;25;2;1.6;4.154158369
615;3;2;20;1;55;2;1.6;6.09748747
616;3;2;20;1;25;2;1.6;6.393378566
617;3;2;20;0;55;1.5;1.6;5.590172891
618;3;2;20;0;25;1.5;1.6;5.736049943
619;3;2;20;1;55;1.5;1.6;6.969356796
620;3;2;20;1;25;1.5;1.6;7.120791327
621;3;2;20;0;55;2.5;1.6;2.920712077
622;3;2;20;0;25;2.5;1.6;2.969081432
623;3;2;20;1;55;2.5;1.6;5.044932826
624;3;2;20;1;25;2.5;1.6;5.415824742
625;3;2;10;0;55;2;1.85;3.863499915
626;3;2;10;0;25;2;1.85;3.915182217
627;3;2;10;1;55;2;1.85;4.270800272
628;3;2;10;1;25;2;1.85;4.305346965
629;3;2;10;0;55;1.5;1.85;4.724100654
630;3;2;10;0;25;1.5;1.85;4.821438678
631;3;2;10;1;55;1.5;1.85;5.132211448
632;3;2;10;1;25;1.5;1.85;5.141698602
633;3;2;10;0;55;2.5;1.85;2.823210402
634;3;2;10;0;25;2.5;1.85;3.056349729
635;3;2;10;1;55;2.5;1.85;3.462978673
636;3;2;10;1;25;2.5;1.85;3.594336492
637;3;2;10;0;55;2;1;9.431188907
638;3;2;10;0;25;2;1;9.633801081
639;3;2;10;1;55;2;1;10.18343152
640;3;2;10;1;25;2;1;10.28327591
641;3;2;10;0;55;1.5;1;11.37419012
642;3;2;10;0;25;1.5;1;11.47113886
643;3;2;10;1;55;1.5;1;11.90279036
644;3;2;10;1;25;1.5;1;12.00998777
645;3;2;10;0;55;2.5;1;7.633451724
646;3;2;10;0;25;2.5;1;7.776801225
647;3;2;10;1;55;2.5;1;8.25298902
